Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Occurrence Year,Occurrence Month,Occurrence Hour
14143,,2021-08-12 06:00:00,13-08-2021 02:31,Ahmedabad,153,TRAFFIC VIOLATION,22,F,Blunt Object,Traffic Fatality,19,No,,2021,8,
14144,,2021-08-12 07:00:00,12-08-2021 23:01,Meerut,406,DOMESTIC VIOLENCE,29,F,Explosives,Violent Crime,6,Yes,2021-11-07 07:00:00,2021,8,23.0
14145,,2021-08-12 08:00:00,13-08-2021 01:51,Jaipur,187,SEXUAL ASSAULT,30,F,Other,Violent Crime,13,No,,2021,8,
14146,,2021-08-12 09:00:00,12-08-2021 18:38,Visakhapatnam,301,SHOPLIFTING,42,F,Knife,Other Crime,16,No,,2021,8,18.0
14147,,2021-08-12 10:00:00,12-08-2021 20:32,Mumbai,393,ILLEGAL POSSESSION,24,M,Poison,Other Crime,8,Yes,2021-10-15 03:00:00,2021,8,20.0
14148,,2021-08-12 11:00:00,13-08-2021 04:43,Chennai,131,HOMICIDE,34,F,Unknown,Other Crime,7,No,,2021,8,
14149,,2021-08-12 12:00:00,13-08-2021 04:26,Lucknow,535,EXTORTION,35,F,Explosives,Other Crime,9,No,,2021,8,
14150,2021-12-08 14:00:00,2021-08-12 13:00:00,12-08-2021 15:38,Chennai,370,KIDNAPPING,45,M,Explosives,Other Crime,15,Yes,2021-10-20 14:00:00,2021,8,15.0
14151,,2021-08-12 14:00:00,13-08-2021 06:33,Kolkata,305,TRAFFIC VIOLATION,55,F,Blunt Object,Traffic Fatality,5,Yes,2021-08-18 13:00:00,2021,8,
14152,,2021-08-12 15:00:00,13-08-2021 04:12,Mumbai,249,ROBBERY,34,F,Blunt Object,Violent Crime,18,No,,2021,8,
14153,,2021-08-12 16:00:00,13-08-2021 00:28,Bangalore,319,ROBBERY,43,M,Other,Violent Crime,1,No,,2021,8,
14154,,2021-08-12 17:00:00,12-08-2021 22:43,Delhi,358,SHOPLIFTING,43,F,Unknown,Other Crime,15,No,,2021,8,22.0
14155,,2021-08-12 18:00:00,13-08-2021 06:23,Kanpur,477,KIDNAPPING,34,F,Other,Other Crime,11,Yes,2021-08-26 10:00:00,2021,8,
14156,,2021-08-12 19:00:00,13-08-2021 12:43,Kolkata,398,ROBBERY,49,F,Knife,Violent Crime,18,No,,2021,8,
14157,,2021-08-12 20:00:00,13-08-2021 12:09,Ludhiana,185,SHOPLIFTING,30,M,Other,Other Crime,15,No,,2021,8,
14158,,2021-08-12 21:00:00,13-08-2021 06:14,Mumbai,588,FIREARM OFFENSE,33,M,Explosives,Fire Accident,3,Yes,2021-11-04 11:00:00,2021,8,
14159,,2021-08-12 22:00:00,13-08-2021 14:36,Chennai,282,ILLEGAL POSSESSION,70,F,Unknown,Other Crime,9,No,,2021,8,
14160,,2021-08-12 23:00:00,13-08-2021 11:19,Bangalore,583,ROBBERY,65,M,Knife,Violent Crime,18,Yes,2021-09-30 00:00:00,2021,8,
14161,,2021-08-13 00:00:00,13-08-2021 05:36,Bhopal,397,DOMESTIC VIOLENCE,27,M,Unknown,Violent Crime,2,No,,2021,8,
14162,,2021-08-13 01:00:00,13-08-2021 12:21,Lucknow,340,VEHICLE - STOLEN,63,F,Explosives,Violent Crime,4,Yes,2021-09-04 08:00:00,2021,8,
14163,,2021-08-13 02:00:00,13-08-2021 04:19,Bangalore,273,IDENTITY THEFT,71,M,Unknown,Violent Crime,7,No,,2021,8,
14164,,2021-08-13 03:00:00,13-08-2021 09:20,Bangalore,273,BURGLARY,22,M,Firearm,Other Crime,10,Yes,2021-10-28 15:00:00,2021,8,
14165,,2021-08-13 04:00:00,13-08-2021 04:02,Ahmedabad,279,ASSAULT,27,F,Blunt Object,Violent Crime,19,No,,2021,8,
14166,,2021-08-13 05:00:00,13-08-2021 18:15,Delhi,445,BURGLARY,71,M,Unknown,Other Crime,10,No,,2021,8,
14167,,2021-08-13 06:00:00,14-08-2021 01:49,Delhi,398,VANDALISM,24,F,Explosives,Other Crime,8,Yes,2021-09-27 14:00:00,2021,8,
14168,,2021-08-13 07:00:00,13-08-2021 18:16,Pune,473,SHOPLIFTING,34,M,Knife,Other Crime,12,No,,2021,8,
14169,,2021-08-13 08:00:00,13-08-2021 09:59,Kanpur,282,FRAUD,67,F,Unknown,Other Crime,14,Yes,2021-08-29 13:00:00,2021,8,
14170,,2021-08-13 09:00:00,13-08-2021 11:15,Hyderabad,564,IDENTITY THEFT,52,M,Knife,Violent Crime,11,Yes,2021-09-20 19:00:00,2021,8,
14171,,2021-08-13 10:00:00,14-08-2021 01:40,Bangalore,540,VEHICLE - STOLEN,34,F,Knife,Violent Crime,1,Yes,2021-09-30 13:00:00,2021,8,
14172,,2021-08-13 11:00:00,13-08-2021 21:09,Lucknow,184,VANDALISM,22,M,Unknown,Other Crime,16,Yes,2021-11-07 03:00:00,2021,8,
14173,,2021-08-13 12:00:00,13-08-2021 15:33,Surat,208,PUBLIC INTOXICATION,12,M,Knife,Other Crime,9,Yes,2021-08-16 21:00:00,2021,8,
14174,,2021-08-13 13:00:00,14-08-2021 11:16,Bhopal,566,TRAFFIC VIOLATION,66,F,Unknown,Traffic Fatality,10,No,,2021,8,
14175,,2021-08-13 14:00:00,13-08-2021 15:10,Delhi,325,ILLEGAL POSSESSION,70,F,Explosives,Other Crime,2,No,,2021,8,
14176,,2021-08-13 15:00:00,13-08-2021 20:20,Kolkata,231,ASSAULT,69,F,Knife,Violent Crime,5,Yes,2021-10-15 00:00:00,2021,8,
14177,,2021-08-13 16:00:00,14-08-2021 14:53,Ahmedabad,176,FRAUD,66,M,Blunt Object,Other Crime,7,Yes,2021-09-17 17:00:00,2021,8,
14178,,2021-08-13 17:00:00,13-08-2021 17:54,Kolkata,224,ROBBERY,71,F,Explosives,Violent Crime,4,Yes,2021-11-01 17:00:00,2021,8,
14179,,2021-08-13 18:00:00,14-08-2021 02:23,Kolkata,545,ROBBERY,63,M,Blunt Object,Violent Crime,9,No,,2021,8,
14180,,2021-08-13 19:00:00,13-08-2021 21:03,Ahmedabad,237,DRUG OFFENSE,46,M,Firearm,Other Crime,9,No,,2021,8,
14181,,2021-08-13 20:00:00,14-08-2021 07:28,Ghaziabad,372,FRAUD,54,F,Knife,Other Crime,12,Yes,2021-09-02 12:00:00,2021,8,
14182,,2021-08-13 21:00:00,14-08-2021 19:47,Delhi,470,BURGLARY,59,F,Poison,Other Crime,6,Yes,2021-10-28 19:00:00,2021,8,
14183,,2021-08-13 22:00:00,14-08-2021 06:05,Bangalore,110,IDENTITY THEFT,17,F,Explosives,Violent Crime,9,Yes,2021-10-14 03:00:00,2021,8,
14184,,2021-08-13 23:00:00,14-08-2021 11:01,Bangalore,355,KIDNAPPING,46,F,Poison,Other Crime,14,No,,2021,8,
14185,,2021-08-14 00:00:00,14-08-2021 17:24,Delhi,339,VANDALISM,17,F,Explosives,Other Crime,19,No,,2021,8,
14186,,2021-08-14 01:00:00,14-08-2021 12:51,Nashik,172,TRAFFIC VIOLATION,69,F,Firearm,Traffic Fatality,1,No,,2021,8,
14187,,2021-08-14 02:00:00,14-08-2021 09:48,Delhi,133,COUNTERFEITING,54,M,Unknown,Other Crime,6,No,,2021,8,
14188,,2021-08-14 03:00:00,15-08-2021 01:36,Agra,488,ARSON,20,M,Other,Fire Accident,17,Yes,2021-10-24 00:00:00,2021,8,
14189,,2021-08-14 04:00:00,14-08-2021 15:39,Mumbai,598,FRAUD,60,M,Knife,Other Crime,19,Yes,2021-11-09 13:00:00,2021,8,
14190,,2021-08-14 05:00:00,15-08-2021 03:20,Nashik,547,FIREARM OFFENSE,15,M,Unknown,Fire Accident,19,No,,2021,8,
14191,,2021-08-14 06:00:00,15-08-2021 03:15,Mumbai,453,PUBLIC INTOXICATION,18,F,Explosives,Other Crime,15,Yes,2021-08-20 18:00:00,2021,8,
14192,,2021-08-14 07:00:00,14-08-2021 23:30,Hyderabad,268,VANDALISM,42,F,Firearm,Other Crime,16,Yes,2021-09-24 03:00:00,2021,8,
14193,,2021-08-14 08:00:00,14-08-2021 12:33,Chennai,276,FRAUD,35,F,Blunt Object,Other Crime,11,No,,2021,8,
14194,,2021-08-14 09:00:00,14-08-2021 19:04,Kolkata,146,IDENTITY THEFT,12,F,Firearm,Violent Crime,10,No,,2021,8,
14195,,2021-08-14 10:00:00,14-08-2021 13:25,Mumbai,331,KIDNAPPING,23,F,Knife,Other Crime,7,No,,2021,8,
14196,,2021-08-14 11:00:00,15-08-2021 03:09,Hyderabad,249,PUBLIC INTOXICATION,15,M,Firearm,Other Crime,6,Yes,2021-08-22 07:00:00,2021,8,
14197,,2021-08-14 12:00:00,14-08-2021 15:15,Chennai,529,CYBERCRIME,66,F,Poison,Other Crime,15,Yes,2021-09-04 02:00:00,2021,8,
14198,,2021-08-14 13:00:00,14-08-2021 13:29,Jaipur,134,DRUG OFFENSE,77,F,Knife,Other Crime,12,Yes,2021-11-02 09:00:00,2021,8,
14199,,2021-08-14 14:00:00,15-08-2021 01:30,Surat,255,DOMESTIC VIOLENCE,15,M,Explosives,Violent Crime,11,Yes,2021-10-25 18:00:00,2021,8,
14200,,2021-08-14 15:00:00,15-08-2021 06:54,Bangalore,486,CYBERCRIME,79,F,Explosives,Other Crime,1,Yes,2021-09-01 04:00:00,2021,8,
14201,,2021-08-14 16:00:00,15-08-2021 04:48,Mumbai,142,IDENTITY THEFT,20,F,Blunt Object,Violent Crime,19,Yes,2021-11-05 15:00:00,2021,8,
14202,,2021-08-14 17:00:00,15-08-2021 16:18,Thane,420,COUNTERFEITING,59,F,Poison,Other Crime,18,No,,2021,8,
14203,,2021-08-14 18:00:00,15-08-2021 11:40,Patna,147,ROBBERY,64,F,Explosives,Violent Crime,10,Yes,2022-01-15 20:00:00,2021,8,
14204,,2021-08-14 19:00:00,14-08-2021 23:52,Bangalore,564,DOMESTIC VIOLENCE,20,F,Explosives,Violent Crime,3,No,,2021,8,
14205,,2021-08-14 20:00:00,15-08-2021 07:53,Agra,524,COUNTERFEITING,16,F,Firearm,Other Crime,9,Yes,2021-10-12 08:00:00,2021,8,
14206,,2021-08-14 21:00:00,15-08-2021 06:51,Mumbai,279,ILLEGAL POSSESSION,39,F,Explosives,Other Crime,11,No,,2021,8,
14207,,2021-08-14 22:00:00,15-08-2021 02:09,Delhi,162,ILLEGAL POSSESSION,27,M,Poison,Other Crime,6,No,,2021,8,
14208,,2021-08-14 23:00:00,14-08-2021 23:28,Mumbai,453,PUBLIC INTOXICATION,59,F,Other,Other Crime,7,Yes,2021-08-21 22:00:00,2021,8,
14209,,2021-08-15 00:00:00,15-08-2021 02:36,Chennai,290,DOMESTIC VIOLENCE,55,M,Poison,Violent Crime,12,Yes,2021-11-02 15:00:00,2021,8,
14210,,2021-08-15 01:00:00,15-08-2021 11:06,Bangalore,107,TRAFFIC VIOLATION,33,F,Explosives,Traffic Fatality,1,No,,2021,8,
14211,,2021-08-15 02:00:00,15-08-2021 17:38,Delhi,485,IDENTITY THEFT,51,F,Other,Violent Crime,4,Yes,2021-09-23 18:00:00,2021,8,
14212,,2021-08-15 03:00:00,15-08-2021 04:10,Ahmedabad,340,SHOPLIFTING,45,M,Other,Other Crime,3,Yes,2021-10-21 08:00:00,2021,8,
14213,,2021-08-15 04:00:00,15-08-2021 07:37,Delhi,269,FRAUD,48,M,Poison,Other Crime,16,Yes,2021-09-05 14:00:00,2021,8,
14214,,2021-08-15 05:00:00,15-08-2021 20:37,Mumbai,151,PUBLIC INTOXICATION,62,F,Firearm,Other Crime,17,No,,2021,8,
14215,,2021-08-15 06:00:00,15-08-2021 16:34,Pune,208,EXTORTION,70,F,Poison,Other Crime,7,Yes,2021-11-02 17:00:00,2021,8,
14216,,2021-08-15 07:00:00,15-08-2021 19:34,Delhi,375,ILLEGAL POSSESSION,20,F,Blunt Object,Other Crime,7,No,,2021,8,
14217,,2021-08-15 08:00:00,15-08-2021 20:40,Pune,365,TRAFFIC VIOLATION,73,F,Other,Traffic Fatality,2,Yes,2021-08-18 12:00:00,2021,8,
14218,,2021-08-15 09:00:00,15-08-2021 14:39,Visakhapatnam,330,ARSON,23,M,Explosives,Fire Accident,4,Yes,2021-10-26 16:00:00,2021,8,
14219,,2021-08-15 10:00:00,15-08-2021 11:29,Kanpur,296,IDENTITY THEFT,42,M,Blunt Object,Violent Crime,2,Yes,2021-10-30 18:00:00,2021,8,
14220,,2021-08-15 11:00:00,16-08-2021 03:45,Hyderabad,317,BURGLARY,20,F,Other,Other Crime,17,No,,2021,8,
14221,,2021-08-15 12:00:00,16-08-2021 03:22,Chennai,377,IDENTITY THEFT,53,F,Poison,Violent Crime,14,No,,2021,8,
14222,,2021-08-15 13:00:00,16-08-2021 08:04,Ludhiana,388,ROBBERY,69,F,Poison,Violent Crime,14,No,,2021,8,
14223,,2021-08-15 14:00:00,16-08-2021 05:11,Bangalore,342,VEHICLE - STOLEN,22,F,Firearm,Violent Crime,11,Yes,2021-10-12 15:00:00,2021,8,
14224,,2021-08-15 15:00:00,15-08-2021 15:24,Patna,109,IDENTITY THEFT,31,F,Poison,Violent Crime,11,Yes,2021-09-05 19:00:00,2021,8,
14225,,2021-08-15 16:00:00,15-08-2021 20:45,Mumbai,130,ROBBERY,48,F,Poison,Violent Crime,13,Yes,2021-11-06 23:00:00,2021,8,
14226,,2021-08-15 17:00:00,16-08-2021 05:20,Delhi,335,SEXUAL ASSAULT,40,F,Other,Violent Crime,7,No,,2021,8,
14227,,2021-08-15 18:00:00,15-08-2021 21:25,Pune,215,BURGLARY,45,F,Blunt Object,Other Crime,9,No,,2021,8,
14228,,2021-08-15 19:00:00,16-08-2021 07:19,Mumbai,115,KIDNAPPING,22,F,Other,Other Crime,9,No,,2021,8,
14229,,2021-08-15 20:00:00,16-08-2021 00:39,Pune,481,ILLEGAL POSSESSION,51,F,Other,Other Crime,10,Yes,2021-11-01 13:00:00,2021,8,
14230,,2021-08-15 21:00:00,16-08-2021 16:39,Lucknow,119,ASSAULT,10,F,Explosives,Violent Crime,15,No,,2021,8,
14231,,2021-08-15 22:00:00,16-08-2021 16:44,Surat,307,ROBBERY,46,F,Firearm,Violent Crime,5,No,,2021,8,
14232,,2021-08-15 23:00:00,16-08-2021 10:56,Delhi,324,HOMICIDE,51,M,Other,Other Crime,15,No,,2021,8,
14233,,2021-08-16 00:00:00,16-08-2021 09:03,Delhi,145,CYBERCRIME,28,M,Unknown,Other Crime,11,Yes,2021-09-27 09:00:00,2021,8,
14234,,2021-08-16 01:00:00,16-08-2021 04:28,Pune,476,ASSAULT,54,F,Other,Violent Crime,14,No,,2021,8,
14235,,2021-08-16 02:00:00,16-08-2021 10:46,Bangalore,120,DRUG OFFENSE,63,M,Explosives,Other Crime,10,No,,2021,8,
14236,,2021-08-16 03:00:00,17-08-2021 02:12,Visakhapatnam,260,VEHICLE - STOLEN,38,M,Explosives,Violent Crime,18,Yes,2021-09-24 01:00:00,2021,8,
14237,,2021-08-16 04:00:00,16-08-2021 14:51,Thane,183,PUBLIC INTOXICATION,68,F,Other,Other Crime,4,No,,2021,8,
14238,,2021-08-16 05:00:00,16-08-2021 10:27,Nashik,512,COUNTERFEITING,65,M,Knife,Other Crime,4,Yes,2021-09-04 13:00:00,2021,8,
14239,,2021-08-16 06:00:00,16-08-2021 14:41,Delhi,497,DOMESTIC VIOLENCE,36,F,Explosives,Violent Crime,13,No,,2021,8,
14240,,2021-08-16 07:00:00,17-08-2021 03:21,Kolkata,479,DOMESTIC VIOLENCE,34,F,Explosives,Violent Crime,11,Yes,2021-10-23 11:00:00,2021,8,
14241,,2021-08-16 08:00:00,17-08-2021 02:29,Jaipur,286,TRAFFIC VIOLATION,48,M,Poison,Traffic Fatality,3,No,,2021,8,
14242,,2021-08-16 09:00:00,16-08-2021 13:15,Delhi,118,KIDNAPPING,29,F,Firearm,Other Crime,8,No,,2021,8,
14243,,2021-08-16 10:00:00,17-08-2021 04:13,Kolkata,350,DRUG OFFENSE,36,F,Other,Other Crime,16,No,,2021,8,
14244,,2021-08-16 11:00:00,17-08-2021 03:49,Bangalore,284,KIDNAPPING,51,F,Poison,Other Crime,8,Yes,2021-09-23 04:00:00,2021,8,
14245,,2021-08-16 12:00:00,17-08-2021 08:18,Hyderabad,233,DRUG OFFENSE,33,F,Knife,Other Crime,8,Yes,2021-10-15 16:00:00,2021,8,
14246,,2021-08-16 13:00:00,16-08-2021 16:49,Delhi,578,ILLEGAL POSSESSION,49,F,Unknown,Other Crime,8,Yes,2021-10-08 23:00:00,2021,8,
14247,,2021-08-16 14:00:00,17-08-2021 00:24,Ahmedabad,365,FRAUD,58,M,Unknown,Other Crime,18,No,,2021,8,
14248,,2021-08-16 15:00:00,17-08-2021 14:39,Agra,524,SHOPLIFTING,79,F,Firearm,Other Crime,11,Yes,2021-09-25 18:00:00,2021,8,
14249,,2021-08-16 16:00:00,17-08-2021 08:05,Chennai,575,SHOPLIFTING,25,M,Knife,Other Crime,1,No,,2021,8,
14250,,2021-08-16 17:00:00,16-08-2021 21:49,Thane,466,VEHICLE - STOLEN,59,F,Unknown,Violent Crime,15,Yes,2021-11-08 15:00:00,2021,8,
14251,,2021-08-16 18:00:00,16-08-2021 18:40,Bangalore,286,ILLEGAL POSSESSION,60,F,Unknown,Other Crime,15,No,,2021,8,
14252,,2021-08-16 19:00:00,17-08-2021 05:08,Nagpur,566,FRAUD,44,M,Blunt Object,Other Crime,16,Yes,2021-09-28 10:00:00,2021,8,
14253,,2021-08-16 20:00:00,17-08-2021 04:46,Jaipur,429,HOMICIDE,22,F,Poison,Other Crime,16,Yes,2022-09-09 09:00:00,2021,8,
14254,,2021-08-16 21:00:00,17-08-2021 10:52,Ahmedabad,308,VANDALISM,44,F,Explosives,Other Crime,10,Yes,2021-09-13 04:00:00,2021,8,
14255,,2021-08-16 22:00:00,17-08-2021 05:35,Hyderabad,543,COUNTERFEITING,56,F,Knife,Other Crime,9,No,,2021,8,
14256,,2021-08-16 23:00:00,17-08-2021 19:40,Bangalore,112,ASSAULT,51,F,Poison,Violent Crime,15,Yes,2021-10-21 07:00:00,2021,8,
14257,,2021-08-17 00:00:00,17-08-2021 03:44,Bhopal,201,FIREARM OFFENSE,69,F,Blunt Object,Fire Accident,17,Yes,2021-09-20 17:00:00,2021,8,
14258,,2021-08-17 01:00:00,17-08-2021 04:17,Ahmedabad,580,ROBBERY,56,F,Unknown,Violent Crime,17,Yes,2021-11-19 00:00:00,2021,8,
14259,,2021-08-17 02:00:00,17-08-2021 05:32,Lucknow,122,ARSON,38,F,Firearm,Fire Accident,4,No,,2021,8,
14260,,2021-08-17 03:00:00,17-08-2021 09:21,Ahmedabad,447,SHOPLIFTING,76,F,Knife,Other Crime,16,Yes,2021-10-09 09:00:00,2021,8,
14261,,2021-08-17 04:00:00,17-08-2021 19:08,Hyderabad,269,SHOPLIFTING,37,F,Knife,Other Crime,18,Yes,2021-10-15 17:00:00,2021,8,
14262,,2021-08-17 05:00:00,17-08-2021 08:29,Hyderabad,381,VEHICLE - STOLEN,68,M,Explosives,Violent Crime,7,Yes,2021-11-02 13:00:00,2021,8,
14263,,2021-08-17 06:00:00,17-08-2021 12:46,Hyderabad,540,IDENTITY THEFT,46,F,Explosives,Violent Crime,7,No,,2021,8,
14264,,2021-08-17 07:00:00,17-08-2021 16:59,Lucknow,456,ROBBERY,13,F,Explosives,Violent Crime,4,Yes,2021-11-12 09:00:00,2021,8,
14265,,2021-08-17 08:00:00,18-08-2021 05:24,Bangalore,421,KIDNAPPING,19,M,Blunt Object,Other Crime,15,Yes,2021-09-20 23:00:00,2021,8,
14266,,2021-08-17 09:00:00,17-08-2021 22:21,Kolkata,590,ILLEGAL POSSESSION,36,F,Unknown,Other Crime,19,Yes,2021-09-03 21:00:00,2021,8,
14267,,2021-08-17 10:00:00,17-08-2021 16:20,Pune,146,SHOPLIFTING,71,F,Firearm,Other Crime,6,Yes,2021-08-29 13:00:00,2021,8,
14268,,2021-08-17 11:00:00,17-08-2021 21:18,Thane,593,PUBLIC INTOXICATION,75,M,Explosives,Other Crime,10,Yes,2021-08-29 14:00:00,2021,8,
14269,,2021-08-17 12:00:00,18-08-2021 07:29,Ahmedabad,354,DOMESTIC VIOLENCE,63,F,Unknown,Violent Crime,12,No,,2021,8,
14270,,2021-08-17 13:00:00,17-08-2021 13:58,Pune,446,EXTORTION,75,F,Knife,Other Crime,9,Yes,2021-09-22 19:00:00,2021,8,
14271,,2021-08-17 14:00:00,18-08-2021 08:00,Visakhapatnam,187,FRAUD,66,F,Poison,Other Crime,12,Yes,2021-10-06 17:00:00,2021,8,
14272,,2021-08-17 15:00:00,17-08-2021 17:37,Pune,443,TRAFFIC VIOLATION,23,M,Explosives,Traffic Fatality,3,Yes,2021-09-08 13:00:00,2021,8,
14273,,2021-08-17 16:00:00,18-08-2021 12:59,Mumbai,461,TRAFFIC VIOLATION,33,F,Poison,Traffic Fatality,15,No,,2021,8,
14274,,2021-08-17 17:00:00,17-08-2021 20:07,Meerut,497,SHOPLIFTING,67,F,Unknown,Other Crime,16,No,,2021,8,
14275,,2021-08-17 18:00:00,18-08-2021 07:09,Srinagar,415,COUNTERFEITING,64,M,Other,Other Crime,8,Yes,2021-09-06 05:00:00,2021,8,
14276,,2021-08-17 19:00:00,18-08-2021 08:57,Ludhiana,358,FIREARM OFFENSE,31,F,Explosives,Fire Accident,8,Yes,2021-10-07 23:00:00,2021,8,
14277,,2021-08-17 20:00:00,18-08-2021 11:12,Bhopal,529,SHOPLIFTING,38,F,Poison,Other Crime,3,No,,2021,8,
14278,,2021-08-17 21:00:00,18-08-2021 00:18,Visakhapatnam,503,DRUG OFFENSE,29,F,Poison,Other Crime,9,No,,2021,8,
14279,,2021-08-17 22:00:00,18-08-2021 04:23,Mumbai,568,COUNTERFEITING,50,M,Blunt Object,Other Crime,7,No,,2021,8,
14280,,2021-08-17 23:00:00,18-08-2021 06:49,Hyderabad,419,IDENTITY THEFT,53,F,Unknown,Violent Crime,11,Yes,2021-10-04 06:00:00,2021,8,
14281,,2021-08-18 00:00:00,18-08-2021 16:19,Kanpur,492,SHOPLIFTING,15,M,Blunt Object,Other Crime,6,No,,2021,8,
14282,,2021-08-18 01:00:00,18-08-2021 16:03,Bhopal,518,ROBBERY,12,F,Poison,Violent Crime,13,No,,2021,8,
14283,,2021-08-18 02:00:00,19-08-2021 00:58,Lucknow,328,DRUG OFFENSE,43,F,Knife,Other Crime,7,No,,2021,8,
14284,,2021-08-18 03:00:00,18-08-2021 23:55,Hyderabad,165,FRAUD,52,F,Unknown,Other Crime,11,Yes,2021-10-19 07:00:00,2021,8,
14285,,2021-08-18 04:00:00,18-08-2021 07:23,Patna,273,EXTORTION,66,F,Firearm,Other Crime,8,Yes,2021-09-30 00:00:00,2021,8,
14286,,2021-08-18 05:00:00,18-08-2021 13:11,Mumbai,405,SEXUAL ASSAULT,11,F,Blunt Object,Violent Crime,2,No,,2021,8,
14287,,2021-08-18 06:00:00,18-08-2021 15:02,Delhi,432,SHOPLIFTING,78,F,Knife,Other Crime,2,Yes,2021-10-19 20:00:00,2021,8,
14288,,2021-08-18 07:00:00,18-08-2021 19:59,Kolkata,557,BURGLARY,16,F,Knife,Other Crime,14,No,,2021,8,
14289,,2021-08-18 08:00:00,18-08-2021 19:13,Delhi,465,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,1,No,,2021,8,
14290,,2021-08-18 09:00:00,18-08-2021 11:13,Indore,259,SHOPLIFTING,53,F,Other,Other Crime,1,Yes,2021-08-28 01:00:00,2021,8,
14291,,2021-08-18 10:00:00,19-08-2021 02:28,Srinagar,314,DOMESTIC VIOLENCE,47,X,Knife,Violent Crime,13,Yes,2021-09-21 06:00:00,2021,8,
14292,,2021-08-18 11:00:00,18-08-2021 14:26,Mumbai,419,ROBBERY,20,F,Knife,Violent Crime,15,No,,2021,8,
14293,,2021-08-18 12:00:00,19-08-2021 07:16,Delhi,430,ROBBERY,44,F,Knife,Violent Crime,1,Yes,2022-02-04 08:00:00,2021,8,
14294,,2021-08-18 13:00:00,19-08-2021 08:40,Mumbai,185,ASSAULT,72,M,Poison,Violent Crime,12,No,,2021,8,
14295,,2021-08-18 14:00:00,19-08-2021 03:53,Nagpur,120,IDENTITY THEFT,13,M,Blunt Object,Violent Crime,7,Yes,2021-10-13 00:00:00,2021,8,
14296,,2021-08-18 15:00:00,19-08-2021 10:13,Mumbai,442,CYBERCRIME,38,M,Blunt Object,Other Crime,2,Yes,2021-09-04 07:00:00,2021,8,
14297,,2021-08-18 16:00:00,18-08-2021 19:55,Mumbai,519,ASSAULT,32,M,Poison,Violent Crime,13,Yes,2021-11-01 00:00:00,2021,8,
14298,,2021-08-18 17:00:00,18-08-2021 19:55,Kolkata,204,HOMICIDE,47,F,Unknown,Other Crime,2,Yes,2022-05-12 07:00:00,2021,8,
14299,,2021-08-18 18:00:00,18-08-2021 22:24,Surat,408,HOMICIDE,44,F,Unknown,Other Crime,17,Yes,2023-07-21 02:00:00,2021,8,
14300,,2021-08-18 19:00:00,19-08-2021 18:03,Hyderabad,233,SHOPLIFTING,68,M,Knife,Other Crime,7,No,,2021,8,
14301,,2021-08-18 20:00:00,19-08-2021 09:42,Bangalore,169,BURGLARY,15,F,Unknown,Other Crime,19,No,,2021,8,
14302,,2021-08-18 21:00:00,19-08-2021 12:02,Bangalore,430,HOMICIDE,21,X,Firearm,Other Crime,17,No,,2021,8,
14303,,2021-08-18 22:00:00,19-08-2021 00:30,Jaipur,321,VANDALISM,21,F,Explosives,Other Crime,12,Yes,2021-09-26 06:00:00,2021,8,
14304,,2021-08-18 23:00:00,19-08-2021 10:37,Mumbai,311,IDENTITY THEFT,46,F,Other,Violent Crime,19,Yes,2021-10-11 05:00:00,2021,8,
14305,,2021-08-19 00:00:00,19-08-2021 14:48,Chennai,341,DRUG OFFENSE,66,M,Unknown,Other Crime,16,Yes,2021-11-11 15:00:00,2021,8,
14306,,2021-08-19 01:00:00,19-08-2021 19:52,Ludhiana,285,FIREARM OFFENSE,53,M,Unknown,Fire Accident,19,No,,2021,8,
14307,,2021-08-19 02:00:00,20-08-2021 01:15,Hyderabad,281,KIDNAPPING,47,M,Poison,Other Crime,16,No,,2021,8,
14308,,2021-08-19 03:00:00,19-08-2021 04:23,Lucknow,494,ILLEGAL POSSESSION,76,F,Unknown,Other Crime,6,Yes,2021-09-09 20:00:00,2021,8,
14309,,2021-08-19 04:00:00,19-08-2021 13:19,Bhopal,151,PUBLIC INTOXICATION,33,M,Firearm,Other Crime,1,No,,2021,8,
14310,,2021-08-19 05:00:00,19-08-2021 23:03,Kolkata,308,ILLEGAL POSSESSION,72,M,Explosives,Other Crime,10,No,,2021,8,
14311,,2021-08-19 06:00:00,19-08-2021 23:41,Thane,256,TRAFFIC VIOLATION,69,M,Other,Traffic Fatality,17,Yes,2021-09-03 17:00:00,2021,8,
14312,,2021-08-19 07:00:00,20-08-2021 04:17,Hyderabad,277,FIREARM OFFENSE,36,M,Explosives,Fire Accident,13,No,,2021,8,
14313,,2021-08-19 08:00:00,19-08-2021 23:56,Ahmedabad,568,KIDNAPPING,54,M,Explosives,Other Crime,12,No,,2021,8,
14314,,2021-08-19 09:00:00,19-08-2021 19:55,Agra,222,FIREARM OFFENSE,42,M,Firearm,Fire Accident,5,No,,2021,8,
14315,,2021-08-19 10:00:00,20-08-2021 05:39,Pune,567,VANDALISM,59,M,Blunt Object,Other Crime,14,Yes,2021-09-24 21:00:00,2021,8,
